flight altitude,elevation,elevation m_a
1234.3875,831.0,934.3875
1233.05,836.0,933.05
1231.8125,838.0,931.8125
1231.05,821.0,931.05
1230.6125,852.0,930.6125
1230.3875,914.0,930.3875
1230.0625,951.0,930.0625
1229.95,983.0,929.95
1230.0125,996.0,930.0125
1229.8,966.0,929.8
1229.525,917.0,929.525
1229.3375,870.0,929.3375
1229.0625,851.0,929.0625
1228.8375,833.0,928.8375
1228.75,846.0,928.75
1228.6125,893.0,928.6125
1228.3625,917.0,928.3625
1227.8375,878.0,927.8375
1227.1625,911.0,927.1625
1226.65,911.0,926.65
1226.525,902.0,926.525
1226.6875,864.0,926.6875
1227.2625,869.0,927.2625
1227.925,841.0,927.925
1228.5375,839.0,928.5375
1229.0,831.0,929.0
1229.2,841.0,929.2
1229.4,853.0,929.4
1229.35,899.0,929.35
1229.1875,947.0,929.1875
1229.475,991.0,929.475
1229.75,976.0,929.75
1230.3,944.0,930.3
1231.125,892.0,931.125
1232.25,827.0,932.25
1233.425,873.0,933.425
1234.35,903.0,934.35
1235.05,878.0,935.05
1236.1,840.0,936.1
1237.8375,860.0,937.8375
1239.5625,882.0,939.5625
1241.175,895.0,941.175
1242.0125,935.0,942.0125
1242.9,955.0,942.9
1244.0,956.0,944.0
1244.4625,950.0,944.4625
1243.975,962.0,943.975
1242.825,971.0,942.825
1241.3125,983.0,941.3125
1240.2125,1000.0,940.2125
1239.9375,1017.0,939.9375
1239.875,1007.0,939.875
1239.55,1009.0,939.55
1239.3875,1016.0,939.3875
1240.1125,1004.0,940.1125
1241.175,995.0,941.175
1242.0625,987.0,942.0625
1242.7375,982.0,942.7375
1243.4625,997.0,943.4625
1243.1125,1023.0,943.1125
1242.625,1026.0,942.625
1242.325,1031.0,942.325
1242.925,1035.0,942.925
1243.25,1035.0,943.25
1243.4375,1030.0,943.4375
1243.1125,1018.0,943.1125
1243.4,1007.0,943.4
1243.9625,992.0,943.9625
1244.375,997.0,944.375
1243.875,1009.0,943.875
1242.6375,1002.0,942.6375
1240.3,1007.0,940.3
1238.475,1016.0,938.475
1237.95,1024.0,937.95
1238.4375,1021.0,938.4375
1239.2625,997.0,939.2625
1239.4125,961.0,939.4125
1239.3,965.0,939.3
1239.85,999.0,939.85
1241.325,982.0,941.325
1242.375,960.0,942.375
1242.4875,903.0,942.4875
1241.7625,909.0,941.7625
1240.525,909.0,940.525
1239.45,889.0,939.45
1238.9,875.0,938.9
1238.9,859.0,938.9
1238.4,862.0,938.4
1237.2375,908.0,937.2375
1235.725,944.0,935.725
1233.8375,912.0,933.8375
1231.825,844.0,931.825
1230.2,838.0,930.2
1228.85,891.0,928.85
1227.3,931.0,927.3
1226.75,964.0,926.75
1226.65,971.0,926.65
1226.7375,936.0,926.7375
1226.075,883.0,926.075
1225.0875,872.0,925.0875
1224.4875,878.0,924.4875
1224.225,912.0,924.225
1224.125,895.0,924.125
1223.9875,856.0,923.9875
1223.75,813.0,923.75
1223.525,854.0,923.525
1223.55,886.0,923.55
1223.6125,886.0,923.6125
1223.6375,859.0,923.6375
1223.7,848.0,923.7
1223.7625,804.0,923.7625
1224.0,830.0,924.0
1224.175,902.0,924.175
1224.375,931.0,924.375
1224.375,893.0,924.375
1224.3,885.0,924.3
1224.4375,894.0,924.4375
1225.25,922.0,925.25
1226.0875,958.0,926.0875
1226.4125,944.0,926.4125
1226.925,891.0,926.925
1227.725,837.0,927.725
1229.1875,836.0,929.1875
1230.4375,869.0,930.4375
1231.5125,912.0,931.5125
1232.525,950.0,932.525
1232.725,922.0,932.725
1233.2875,878.0,933.2875
1233.8125,862.0,933.8125
1233.8,849.0,933.8
1232.9,856.0,932.9
1232.5625,877.0,932.5625
1233.1625,901.0,933.1625
1233.9375,892.0,933.9375
1234.325,960.0,934.325
1234.1625,987.0,934.1625
1234.175,994.0,934.175
1234.1625,929.0,934.1625
1234.325,918.0,934.325
1234.675,975.0,934.675
1235.1625,1005.0,935.1625
1235.2625,1023.0,935.2625
1234.475,1024.0,934.475
1234.4625,1016.0,934.4625
1235.5125,1012.0,935.5125
1237.2375,1020.0,937.2375
1237.975,1012.0,937.975
1238.7625,994.0,938.7625
1239.5875,1002.0,939.5875
1240.7875,1014.0,940.7875
1242.0375,1021.0,942.0375
1243.4875,1021.0,943.4875
1243.8125,1032.0,943.8125
1242.75,1024.0,942.75
1242.175,1015.0,942.175
1242.3875,1008.0,942.3875
1242.7,1026.0,942.7
1242.35,1032.0,942.35
1241.5625,1025.0,941.5625
1239.6875,1023.0,939.6875
1238.5625,1024.0,938.5625
1239.025,1020.0,939.025
1240.425,1009.0,940.425
1241.775,995.0,941.775
1242.4875,970.0,942.4875
1242.525,891.0,942.525
1241.6625,904.0,941.6625
1241.6,904.0,941.6
1242.5625,907.0,942.5625
1243.325,872.0,943.325
1243.4875,885.0,943.4875
1243.6375,892.0,943.6375
1244.25,900.0,944.25
1244.625,922.0,944.625
1245.175,918.0,945.175
1245.1625,965.0,945.1625
1244.9625,970.0,944.9625
1244.65,949.0,944.65
1244.9625,911.0,944.9625
1245.0375,911.0,945.0375
1244.7,886.0,944.7
1243.65,849.0,943.65
1241.7125,894.0,941.7125
1239.875,940.0,939.875
1238.275,951.0,938.275
1236.675,913.0,936.675
1234.9625,949.0,934.9625
1234.625,952.0,934.625
1234.7125,955.0,934.7125
1234.875,948.0,934.875
1235.0125,920.0,935.0125
1235.125,856.0,935.125
1235.2375,817.0,935.2375
1235.225,885.0,935.225
1235.3875,910.0,935.3875
1235.625,910.0,935.625
1235.7375,866.0,935.7375
1235.6875,859.0,935.6875
1235.6875,808.0,935.6875
1235.825,854.0,935.825
1235.9875,928.0,935.9875
1236.1625,949.0,936.1625
1236.3625,944.0,936.3625
1236.5875,926.0,936.5875
1236.9875,915.0,936.9875
1237.8125,881.0,937.8125
1239.6625,917.0,939.6625
1241.325,955.0,941.325
1242.8875,923.0,942.8875
1244.2375,862.0,944.2375
1245.8375,868.0,945.8375
1247.15,926.0,947.15
1248.2625,931.0,948.2625
1249.025,936.0,949.025
1248.925,959.0,948.925
1248.5875,971.0,948.5875
1247.7875,969.0,947.7875
1247.35,954.0,947.35
1247.4625,924.0,947.4625
1248.0875,948.0,948.0875
1248.8,921.0,948.8
1250.0875,868.0,950.0875
1251.95,877.0,951.95
1253.1125,888.0,953.1125
1253.525,884.0,953.525
1253.6625,883.0,953.6625
1254.225,985.0,954.225
1254.2875,1001.0,954.2875
1253.5875,1015.0,953.5875
1252.1875,1025.0,952.1875
1251.1625,1030.0,951.1625
1251.1625,1030.0,951.1625
1252.2625,1031.0,952.2625
1253.8125,1037.0,953.8125
1254.4,1034.0,954.4
1254.05,1017.0,954.05
1253.3375,1022.0,953.3375
1253.6,1032.0,953.6
1254.375,1036.0,954.375
1255.775,1036.0,955.775
1256.125,1038.0,956.125
1255.025,1036.0,955.025
1253.5125,1027.0,953.5125
1251.7,1027.0,951.7
1250.1125,1036.0,950.1125
1249.2625,1039.0,949.2625
1248.8,1037.0,948.8
1248.1625,1029.0,948.1625
1247.45,1015.0,947.45
1247.0875,1000.0,947.0875
1247.275,990.0,947.275
1247.2875,981.0,947.2875
1246.5875,961.0,946.5875
1246.5625,914.0,946.5625
1246.4625,891.0,946.4625
1245.85,901.0,945.85
1245.4125,935.0,945.4125
1244.925,958.0,944.925
1244.025,961.0,944.025
1243.025,968.0,943.025
1242.225,989.0,942.225
1242.4875,998.0,942.4875
1243.75,987.0,943.75
1244.975,973.0,944.975
1246.1125,962.0,946.1125
1247.375,958.0,947.375
1248.675,954.0,948.675
1248.8875,896.0,948.8875
1248.725,843.0,948.725
1248.075,866.0,948.075
1246.95,920.0,946.95
1245.5125,944.0,945.5125
1243.7875,941.0,943.7875
1242.575,932.0,942.575
1241.625,882.0,941.625
1240.6625,853.0,940.6625
1240.05,887.0,940.05
1239.5125,921.0,939.5125
1239.05,920.0,939.05
1238.6875,882.0,938.6875
1238.4625,840.0,938.4625
1238.3375,828.0,938.3375
