,fire_prob,lat,lon
1991,0.00031646152984905534,-32.76438612624208,150.31613282463798
1992,0.00031277495228902334,-32.76438612624208,150.32980496223178
1993,0.0003081955458493353,-32.76438612624208,150.34347709982558
1994,0.00030289188845334693,-32.76438612624208,150.35714923741938
1995,0.0002970403082063513,-32.76438612624208,150.37082137501318
1996,0.000290819120903655,-32.76438612624208,150.38449351260698
1997,0.0002844032299876803,-32.76438612624208,150.39816565020078
1998,0.0002779592744109031,-32.76438612624208,150.41183778779458
1999,0.0002716414616006137,-32.76438612624208,150.42550992538838
2000,0.0002655881737435546,-32.76438612624208,150.43918206298218
2001,0.00025991938959706186,-32.76438612624208,150.45285420057598
2002,0.0002547349237411617,-32.76438612624208,150.46652633816979
2003,0.0002501134522808747,-32.76438612624208,150.4801984757636
2004,0.00024611226906698597,-32.76438612624208,150.4938706133574
2005,0.00024276769914152445,-32.76438612624208,150.5075427509512
2006,0.000240096085216447,-32.76438612624208,150.521214888545
2007,0.00023809525701285812,-32.76438612624208,150.5348870261388
2008,0.00023674639056134173,-32.76438612624208,150.5485591637326
2009,0.00023601616360851814,-32.76438612624208,150.5622313013264
2010,0.00023585911302272756,-32.76438612624208,150.5759034389202
2011,0.0002362201000368288,-32.76438612624208,150.589575576514
2012,0.00023703678941113017,-32.76438612624208,150.6032477141078
2013,0.0002382420497978037,-32.76438612624208,150.6169198517016
2014,0.00023976618579352256,-32.76438612624208,150.6305919892954
2015,0.00024153891861238168,-32.76438612624208,150.6442641268892
2016,0.00024349104314650092,-32.76438612624208,150.657936264483
2017,0.00024555570520792364,-32.76438612624208,150.6716084020768
2018,0.0002476692641796112,-32.76438612624208,150.6852805396706
2019,0.0002497717326121961,-32.76438612624208,150.6989526772644
2020,0.000251806814131419,-32.76438612624208,150.7126248148582
2021,0.0002537215922347676,-32.76438612624208,150.726296952452
2022,0.0002554659524037015,-32.76438612624208,150.7399690900458
2023,0.00025699184534294303,-32.76438612624208,150.7536412276396
2024,0.00025825251699179496,-32.76438612624208,150.7673133652334
2025,0.00025920183855132893,-32.76438612624208,150.7809855028272
2026,0.0002597938652496559,-32.76438612624208,150.794657640421
2027,0.0002599827351676845,-32.76438612624208,150.8083297780148
2028,0.0002597229897593516,-32.76438612624208,150.8220019156086
2029,0.00025897035772767183,-32.76438612624208,150.8356740532024
2030,0.00025768299697199874,-32.76438612624208,150.8493461907962
2031,0.00025582313973709393,-32.76438612624208,150.86301832839
2032,0.0002533590387947145,-32.76438612624208,150.8766904659838
2033,0.00025026707244900603,-32.76438612624208,150.8903626035776
2034,0.0002465338378296521,-32.76438612624208,150.9040347411714
2035,0.00024215804870913747,-32.76438612624208,150.9177068787652
2036,0.0002371520578454666,-32.76438612624208,150.931379016359
2037,0.0002315428447446325,-32.76438612624208,150.9450511539528
2038,0.00022537234608261807,-32.76438612624208,150.9587232915466
2039,0.00021869705450226415,-32.76438612624208,150.9723954291404
2040,0.0,-32.76438612624208,150.9860675667342
2041,0.0,-32.76438612624208,150.999739704328
2042,0.0,-32.76438612624208,151.0134118419218
2043,0.0,-32.76438612624208,151.0270839795156
2044,0.0,-32.76438612624208,151.0407561171094
2045,0.0,-32.76438612624208,151.0544282547032
2046,0.0,-32.76438612624208,151.068100392297
2047,0.0,-32.76438612624208,151.0817725298908
2048,0.0,-32.76438612624208,151.0954446674846
2049,0.0,-32.76438612624208,151.1091168050784
2050,0.0,-32.76438612624208,151.1227889426722
2051,0.0,-32.76438612624208,151.136461080266
2052,0.0,-32.78072618795263,150.111050760731
2053,0.0,-32.78072618795263,150.1247228983248
2054,0.0,-32.78072618795263,150.1383950359186
2055,0.0,-32.78072618795263,150.1520671735124
2056,0.000276727088067614,-32.78072618795263,150.1657393111062
2057,0.00028727956667246024,-32.78072618795263,150.1794114487
2058,0.000296807330487887,-32.78072618795263,150.1930835862938
2059,0.00030514251160728486,-32.78072618795263,150.2067557238876
2060,0.0003121452417462376,-32.78072618795263,150.2204278614814
2061,0.0003177088950585143,-32.78072618795263,150.2340999990752
2062,0.0003217639928115284,-32.78072618795263,150.247772136669
2063,0.0003242805763208521,-32.78072618795263,150.2614442742628
2064,0.0003252689451932887,-32.78072618795263,150.2751164118566
2065,0.00032477875351046275,-32.78072618795263,150.28878854945037
2066,0.0003228965496988363,-32.78072618795263,150.30246068704417
2067,0.0003197419295627223,-32.78072618795263,150.31613282463798
2068,0.000315462540515736,-32.78072618795263,150.32980496223178
2069,0.00031022822426643096,-32.78072618795263,150.34347709982558
2070,0.000304224612848582,-32.78072618795263,150.35714923741938
2071,0.000297646498686534,-32.78072618795263,150.37082137501318
2072,0.00029069128496202467,-32.78072618795263,150.38449351260698
2073,0.0002835527910467354,-32.78072618795263,150.39816565020078
2074,0.00027641564340779635,-32.78072618795263,150.41183778779458
2075,0.0002694504299509619,-32.78072618795263,150.42550992538838
2076,0.0002628097400223735,-32.78072618795263,150.43918206298218
2077,0.0002566251575687194,-32.78072618795263,150.45285420057598
2078,0.0002510052247572802,-32.78072618795263,150.46652633816979
2079,0.00024603435013394284,-32.78072618795263,150.4801984757636
2080,0.0002417726004813172,-32.78072618795263,150.4938706133574
2081,0.0002382562892152617,-32.78072618795263,150.5075427509512
2082,0.00023549925585299636,-32.78072618795263,150.521214888545
2083,0.0002334947196365988,-32.78072618795263,150.5348870261388
2084,0.00023221758435523142,-32.78072618795263,150.5485591637326
2085,0.0002316270693419712,-32.78072618795263,150.5622313013264
2086,0.00023166954235032082,-32.78072618795263,150.5759034389202
2087,0.000232281432793731,-32.78072618795263,150.589575576514
2088,0.00023339210841463712,-32.78072618795263,150.6032477141078
2089,0.00023492660507139958,-32.78072618795263,150.6169198517016
2090,0.00023680810858766753,-32.78072618795263,150.6305919892954
2091,0.0002389601002689799,-32.78072618795263,150.6442641268892
2092,0.00024130809447051288,-32.78072618795263,150.657936264483
2093,0.0002437809179193165,-32.78072618795263,150.6716084020768
2094,0.00024631150627168823,-32.78072618795263,150.6852805396706
2095,0.00024883722288529536,-32.78072618795263,150.6989526772644
2096,0.0002512997365535298,-32.78072618795263,150.7126248148582
2097,0.0002536445268601744,-32.78072618795263,150.726296952452
2098,0.0002558201152185203,-32.78072618795263,150.7399690900458
2099,0.0002577771436455301,-32.78072618795263,150.7536412276396
2100,0.0002594674390352251,-32.78072618795263,150.7673133652334
2101,0.0002608432057139217,-32.78072618795263,150.7809855028272
2102,0.00026185648175408485,-32.78072618795263,150.794657640421
2103,0.00026245897436259877,-32.78072618795263,150.8083297780148
2104,0.00026260235740989277,-32.78072618795263,150.8220019156086
2105,0.00026223907194966914,-32.78072618795263,150.8356740532024
2106,0.000261323621760809,-32.78072618795263,150.8493461907962
2107,0.0002598143048593332,-32.78072618795263,150.86301832839
2108,0.00025767527346624305,-32.78072618795263,150.8766904659838
2109,0.00025487877399728407,-32.78072618795263,150.8903626035776
2110,0.00025140738966123664,-32.78072618795263,150.9040347411714
2111,0.00024725609456632407,-32.78072618795263,150.9177068787652
